"Pop_Code","Latitude","Longitude","Elevation","cum.daylight.hours","ann.mean.temp","season.length","GDD","Julien.date.of.first.flower","yday","percentage.damaged.by.herbivory","Water.depth","X..sun","X..days.from..8C.to.first.flowering","weighted.average...days.after.growing.season.to.flowering","proportion.through.the.growing.season.of.flowering.start","Year","GD","GDs","GDDs","meanGDeg","varGDeg","skewGDeg","kurtGDeg","numStns"
"MDDB",38.7529722,-75.9901111,-19,3343.12259,14.5,256,2666.90895894041,".",193,0,"8.33333333","83.3333333",".",118.46788,".",2004,228,90,1213.43186871907,11.8529287064018,30.6412173450882,-0.586101837988508,-0.837057921905618,20
"NJHP",41.3130278,-74.678,390,2553.61516,8,185,1937.58783113191,".",213,26.7,"1.60714286","82.1428571",".",102.377323,".",2004,184,106,1110.29485537985,10.530368647456,17.4464909612663,-0.545606655851205,-0.331066030232373,20
"NJPT",40.3403611,-74.6498611,-27,2954.31147,11.5,220,2204.66363174493,".",207,5.5,"0.29411765","64.7058824",".",113.110606,".",2004,211,110,1186.21871573037,10.4486428044783,25.262048349882,-0.45613622949185,-0.851002710537804,20
"NYLV",43.6970833,-76.19425,74,2642.70562,8.8,191,1481.6848172268,"185",221,24.7,"23.4","62","74",110.145639,"0.38743456",2004,161,92,886.31358368854,9.20301128712296,13.3344004345797,-0.343466359627578,-0.436000496719282,20
"NYSC",42.522,-79.1793056,222,2646.68255,8.9,192,1753.5597727903,"180",201,0,"0.06666667","70","71",92.3723653,"0.36979167",2004,201,95,823.424689900313,8.85636248883991,18.7495599998325,-0.27696622649567,-0.680286362348035,20
"NYWM",43.2897778,-76.1285833,127,2635.42166,8.6,190,1503.38858122994,"174",229,46.7,".",".","65",120.276485,"0.34210526",2004,161,100,993.84837109832,9.33781727472013,13.4255825209503,-0.480144151384224,-0.247840176246198,20
"OHBV",41.4647778,-82.8199444,173,2797.2259,10.3,206,1921.1841441481,"178",220,3.6,"14","50","75",117.179006,"0.36407767",2004,204,115,1206.26755001115,9.55813007038855,20.2773702212786,-0.324102798794711,-0.644676250509792,20
"OHSF",40.3903611,-81.26125,257,2752.01064,10,202,1984.4562829711,"178",208,29.6,"0.33333333","69.1666667","77",107.267762,"0.38118812",2004,203,102,1103.15384786067,9.82404100480743,18.2346481748256,-0.419566138504874,-0.608732625919041,20
"ONAP",45.5791111,-78.4063611,454,2227.69781,4.1,155,1069.00962653034,".",215,0,"0.23333333","96.6666667",".",92.3098792,".",2004,147,86,656.910996022778,7.27217433013838,12.9104062577726,0.0895001760154609,-0.820918635970195,11
"ONBT",44.5590556,-78.3546111,253,2313.81452,5.2,163,1276.78466998201,".",205,0,"2.46666667","63.3333333",".",85.2396265,".",2004,149,76,636.015302617005,8.56902463075176,11.7933002334062,-0.089745764516731,-0.786313960745878,20
"ONCB",46.3776389,-79.9749167,200,2226.86748,3.8,154,1019.62087675241,".",208,0,"97.6666667","80.8333333",".",85.3705976,".",2004,128,59,466.7358620466,7.96578809962818,11.3511648291772,-0.0758489961873518,-0.739461956810184,8
"ONDM",44.4925,-77.6456389,159,2381.26006,6,168,1363.91735606189,"178",198,0,"0.53333333","73.3333333","62",82.2956983,"0.36904762",2004,161,69,579.737987384187,8.52448347538681,13.0648263478551,-0.238154928587428,-0.679472374054204,20
"ONEC",47.6903889,-80.2766389,260,2143.51989,2.3,146,847.912181332164,".",217,0,"0.56666667","93.3333333",".",90.7900764,".",2004,112,68,541.091798073824,7.57064447618004,14.1447787829817,0.239255102986067,-0.646655550327803,4
"ONKA",44.6482222,-77.1218611,198,2383.2149,6,168,1356.14647889598,".",201,0,"0.16666667","70.8333333",".",84.7623466,".",2004,149,72,644.777538936844,9.10165422077837,11.4537862262126,-0.0903414320946997,-0.709585393385964,17
"ONLG",46.4253611,-84.0878333,175,2223.51164,4.4,155,985.807016691167,".",225,17.1,"8.16666667","83.3333333",".",98.3488904,".",2004,141,89,595.385431879476,6.99153912546927,12.632329274378,-0.00740683007874321,-0.71789784993627,16
"ONNO",45.4187222,-80.1006667,266,2288.10664,4.6,160,1332.0490852912,"186",203,0,"0.46666667","93.3333333","65",81.8995408,"0.40625",2004,156,74,582.562923953172,8.53877618776413,14.8917566026977,-0.108668994903759,-0.785886978875546,20
"ONPG",44.5947778,-78.132,257,2314.2529,5.2,163,1279.69523932251,".",209,6.2,"0.66666667","65.8333333",".",89.4753429,".",2004,149,80,672.823732855026,8.58855865317122,11.5930449091357,-0.095392386505744,-0.785402554332249,20
"ONRO",45.2537222,-79.6391111,235,2286.0177,4.6,160,1218.9811928092,"185",207,0.5,"0.06666667","89.1666667","64",85.7280543,"0.4",2004,149,78,600.552982557991,8.18108183093424,13.7173706504577,-0.0387467703840706,-0.843510555562352,20
"ONRP",45.8302222,-77.13225,202,2384.10003,5.3,167,1255.0611629057,"183",214,0,"137.8","64.1666667","66",96.8856238,"0.39520958",2004,147,85,723.254999168982,8.5378310401748,13.825152015679,-0.0988826522373839,-0.794240952782129,15
"ONTI",48.4783611,-81.2986944,319,2047.86059,1.4,138,680.048329250572,".",229,93.2,"0","87.5",".",99.0295398,".",2004,105,79,532.434526390509,6.47665075476736,14.198388625905,0.286132334250157,-0.717797346085007,2
"ONWH",45.4926111,-78.2382778,413,2226.60006,4.1,155,1095.1510441557,"182",204,0,"0.56666667","63.3333333","59",81.0212382,"0.38064516",2004,142,75,568.981444455112,7.71233129687116,12.3308664938998,0.0946186642320696,-0.797371875147088,13
"PACL",41.6483056,-80.3111667,329,2626.49227,8.7,191,1695.21307861045,".",214,0,"11.2333333","85",".",105.472619,".",2004,202,108,997.785215027107,8.43389591348485,18.5097331983441,-0.344214083073634,-0.867737548813915,20
"PASR",42.1165278,-79.8801667,428,2777.17974,10.1,204,1737.89389748841,"179",196,0,"1.9","76.6666667","74",91.2264298,"0.3627451",2004,202,90,804.891073258676,8.64623829596225,18.1386518048569,-0.362298177584557,-0.810473153684822,20
